epoch,train_loss,val_loss,val_ts_raw,val_ts_evo,val_oxy
1,0.761925,0.370178,0.025583,0.051480,0.586230
2,0.637168,0.371284,0.025770,0.053098,0.584833
3,0.677479,0.374562,0.025805,0.052217,0.593081
4,0.639168,0.371434,0.025985,0.053130,0.584638
5,0.633079,0.376241,0.026081,0.054538,0.591245
6,0.638031,0.372313,0.026308,0.054163,0.583684
7,0.629418,0.372259,0.026544,0.054458,0.582516
8,0.640279,0.374434,0.026817,0.055204,0.584827
9,0.607609,0.373488,0.027123,0.054762,0.583207
10,0.604914,0.373630,0.027207,0.054805,0.583235
11,0.604207,0.372888,0.027357,0.054737,0.581588
12,0.620784,0.374835,0.027401,0.056153,0.582560
13,0.561603,0.374303,0.027562,0.056176,0.581131
14,0.618025,0.373631,0.027714,0.054925,0.581983
15,0.605493,0.372548,0.027716,0.054427,0.580810
16,0.627759,0.376175,0.027764,0.055170,0.586482
17,0.597657,0.375730,0.027784,0.054775,0.586341
18,0.602267,0.375740,0.027805,0.056299,0.583270
19,0.632966,0.375151,0.027868,0.054561,0.585444
20,0.568634,0.372685,0.027890,0.054266,0.581058
21,0.601981,0.375120,0.027972,0.055202,0.583892
22,0.604165,0.373092,0.027919,0.054445,0.581456
23,0.598797,0.372394,0.027988,0.054194,0.580425
24,0.582271,0.372903,0.027946,0.054097,0.581719
25,0.609296,0.372992,0.028057,0.054605,0.580659
26,0.583177,0.373555,0.027992,0.053390,0.584348
27,0.608308,0.373766,0.028030,0.054085,0.583302
28,0.573105,0.372333,0.028022,0.053951,0.580718
