epoch,train_loss,val_loss,phase,window_size
1,1.422103,0.245533,1,10
2,0.192780,0.166096,1,10
3,0.161996,0.130829,1,10
4,0.150247,0.114912,1,10
5,0.147327,0.128664,1,10
6,0.146376,0.134472,1,10
7,0.140914,0.145108,1,10
8,0.140868,0.120623,1,10
9,0.133565,0.115631,1,10
10,0.133094,0.123307,1,10
11,0.133486,0.121381,1,10
12,0.135633,0.142798,1,10
13,0.140820,0.163816,1,10
14,0.132378,0.115902,1,10
15,0.129208,0.133912,1,10
16,0.130220,0.163786,1,10
17,0.125017,0.180262,1,10
18,0.133956,0.264447,1,10
19,0.128368,0.161162,1,10
20,0.121675,0.152411,1,10
21,0.122494,0.288971,1,10
22,0.127815,0.206262,1,10
23,0.121691,0.189617,1,10
24,0.119152,0.160698,1,10
25,0.124957,0.203944,1,10
26,0.117611,0.164400,1,10
27,0.116288,0.228843,1,10
28,0.116674,0.207221,1,10
29,0.115920,0.184967,1,10
30,0.116476,0.213263,1,10
31,0.116078,0.164896,1,10
32,0.115001,0.310045,1,10
33,0.114755,0.205005,1,10
34,0.114409,0.143023,1,10
35,0.113098,0.201985,1,10
36,0.115566,0.534335,1,10
37,0.114367,0.219329,1,10
38,0.109787,0.697218,1,10
39,0.114152,0.212012,1,10
40,0.107682,0.370004,1,10
41,0.108408,0.270211,1,10
42,0.111283,0.273228,1,10
43,0.107496,0.376129,1,10
44,0.111058,0.269772,1,10
45,0.108081,0.557764,1,10
46,0.107416,0.213467,1,10
47,0.108055,0.184837,1,10
48,0.105743,0.271874,1,10
49,0.132791,0.450771,1,10
50,0.123883,0.416424,1,10
51,0.103674,0.439256,1,10
52,0.104590,0.500904,1,10
53,0.102870,0.393592,1,10
54,0.104030,0.213248,1,10
55,0.103558,0.279992,1,10
56,0.101649,0.582866,1,10
57,0.102299,0.412407,1,10
58,0.103204,0.286893,1,10
59,0.102566,0.116649,1,10
60,0.100819,0.107992,1,10
61,0.101249,0.260700,1,10
62,0.101586,0.303440,1,10
63,0.101766,0.296353,1,10
64,0.101206,0.381402,1,10
65,0.099939,0.299333,1,10
66,0.099256,0.321626,1,10
67,0.098489,0.280788,1,10
68,0.099255,0.365650,1,10
69,0.097189,0.362202,1,10
70,0.096969,0.409440,1,10
71,0.097971,0.338088,1,10
72,0.097023,0.261361,1,10
73,0.095784,0.426186,1,10
74,0.095836,0.326059,1,10
75,0.096435,0.362729,1,10
76,0.096653,0.503367,1,10
77,0.094595,0.462756,1,10
78,0.094767,0.621812,1,10
79,0.094118,0.436803,1,10
80,0.093713,0.376457,1,10
81,0.094107,0.522756,1,10
82,0.092670,0.460507,1,10
83,0.092690,0.463943,1,10
84,0.092165,0.496028,1,10
85,0.091694,0.490204,1,10
86,0.091468,0.554463,1,10
87,0.091299,0.457281,1,10
88,0.090067,0.470505,1,10
89,0.090906,0.510258,1,10
90,0.090074,0.487831,1,10
91,0.089824,0.565631,1,10
92,0.089026,0.519974,1,10
93,0.089072,0.547102,1,10
94,0.088504,0.547160,1,10
95,0.091404,0.527996,1,10
96,0.088461,0.532447,1,10
97,0.088097,0.532691,1,10
98,0.087965,0.536322,1,10
99,0.087762,0.538852,1,10
100,0.088002,0.537531,1,10
